Timestamp,Name (optional),Do you think the speakers did a good job explaining relevant concepts? Why/Why not?,How satisfied were you with the event?,How relevant do you think this event was to your degree?,What were your key take aways from this event?,How satisfied were you with the session content?,Any overall feedback for the event?
2017/07/16 12:12:38 pm GMT+10,,Yes it was very informational for someone who had 0 idea about html ,4,4,I know how to change font colours and basically basis of coding like tags and comments etc etc :D,5,YES IT KEEP IT UP
2017/07/16 12:12:40 pm GMT+10,Jo ,"Speaker's were great! Everyone explained the key concepts clearly. However, it was sometimes hard to follow because it felt a bit rushed - but that's okay given the time constraints. I would definitely go to another workshop. Everyone was extremely helpful.  ",5,4,How make buttons lmao and other key ideas necessary for coding. The event was great at covering the basics. ,5,Good job IT <3 
2017/07/16 12:12:47 pm GMT+10,Boyang,Yes!! ,4,3,Basic knowledge regarding coding,4,"maybe more resources like a cheat sheet summing everything up? thanks for the event guys, it was really good!"
2017/07/16 12:12:50 pm GMT+10,,"Yes, they explained it very clearly and provided examples.",4,3,"Basics of coding, colour, font, styles",4,Might be helpful to make us do the coding alongside your explanations so we remember what you taught us.
2017/07/16 12:12:50 pm GMT+10,Will Zhou,Yes they were amazing. Lena did the best job,5,2,Coding can be done by anyone ,5,This type of thing would probably work best with fewer people in sessions (more interaction & individualised help)
2017/07/16 12:12:51 pm GMT+10,,It was a bit rushed as there were a lot of students in the room. Therefore it was hard to distribute the attention to all the people trying to understand the code. However it was well explained.,3,4,Basic html coding and understanding of the intricities of website function,5,More focus on individual and more interaction with the audience.
2017/07/16 12:12:52 pm GMT+10,,sorta,2,4,coding is important,2,okay
2017/07/16 12:13:08 pm GMT+10,Julian Staffing,Yeah boi,5,5,Coding,5,Would be great if you discussed how you could link a document of code to a website and then how it could become accessible to the public.
2017/07/16 12:13:15 pm GMT+10,,"Very good, I love Pat he made me feel his passion, could maybe explain more at the start",4,4,"HTML, CSS, appreciate it, inline external internal",4,.me {feel: keen} Too short; more practice in brackets would be nice; I am keen to learn more
2017/07/16 12:13:17 pm GMT+10,,Yes the speakers were able to articulate their ideas clearly & make it easy to understand ,4,3,the basics of making a website and manipulating fonts,4,
2017/07/16 12:13:22 pm GMT+10,Priyanka and Chris ,"Yes, super duper enthusiastic and explained very well and dumbed down to our level",5,4,"Theres a lot of work that goes into creating websites, but it was really fun ",5,Have a key of codes that we can keep referring to :) 
2017/07/16 12:13:23 pm GMT+10,Jalee Chen,"Yes, very engaging especially Pat!!! Was a bit fast at the beginning and very confusing but that's ok got there in the end.",5,2,I learnt alot about coding and it was extremely interesting to learn something new,5,going to become hacker boii
2017/07/16 12:13:25 pm GMT+10,Kara ,They did a very good job explaining the concepts. They were very clear and they came around to help everyone out. ,5,3,Making websites isn't as hard as it seems as long as you understand all the concepts that are involved in making it. ,5,
2017/07/16 12:13:28 pm GMT+10,,Yes! Detailed but concise,4,3,Basics of coding,3,luv u IT
2017/07/16 12:13:39 pm GMT+10,Lily,Yes but they moved a bit too quickly for people who see coding as a new language.,3,3,I learnt how to change font colour and images.,4,
2017/07/16 12:14:26 pm GMT+10,Shazz,"yes, bc they made everything sound super simple and they made us try everything ourselves after they explained it.",5,3,how to change font and make buttons lel,5,
2017/07/16 12:15:22 pm GMT+10,Jeff,"Yes on a broad level, but the amount of people in the room did make it difficult to work around individual needs. ",4,3,Learnt how to code some basic elements for a webpage and definitely gained an interest,4,"Excellent event. Subcom were well informed and knowledgeable and controlled subcom quite well. I understand it is difficult to manage such a large group of people, but they did a great job to capture the attention of those who may have never really held an interest in coding. "
2017/07/16 12:15:41 pm GMT+10,Nelson,"YAASSSSSSS!! The speakers did a fabulous job walking us through the complicated and intricate steps of designing a website. Even tho I came late, i was able to catch up and understand. ",5,1,That Computer science is very hard. It is like learning a whole new language. ,5,GOOD JOB IT <3 
